"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C12,C10,C11,C16,C18,C17,C20,C21,C8";"C_1206_3216Metric";10;"100nF";;;
2;"J8";"ZX360DB10P30";1;"ZX360D-B-10P_30_";;;
3;"D1";"LED_0805_2012Metric";1;"LED";;;
4;"R12";"R_1206_3216Metric";1;"470R";;;
5;"U1";"RPi_Pico_SMD";1;"Pico";;;
6;"C13,C15";"C_1206_3216Metric";2;"18pF";;;
7;"R10,R11,R7";"R_1206_3216Metric";3;"10K";;;
8;"J4,J6,J2";"PinHeader_1x02_P2.54mm_Vertical";3;"22-23-2021";;;
9;"Y1";"Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm";1;"30Mhz";;;
10;"R1";"R_1206_3216Metric";1;"56";;;
11;"J3,J5";"PinSocket_2x06_P2.54mm_Horizontal";2;"90122-0126";;;
12;"R4,R8";"R_1206_3216Metric";2;"220";;;
13;"C9,C6,C7";"C_1206_3216Metric";3;"22uF";;;
14;"J7";"AMPHENOL_132357-11";1;"Conn_Coaxial";;;
15;"U2";"FT600Q-B-T";1;"FT600Q-B-T";;;
16;"FB1,FB3,FB2";"L_1206_3216Metric";3;"FerriteBead_Small";;;
17;"R5";"R_1206_3216Metric";1;"1.6K";;;
18;"U4";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"ADC08100CIMTCX/NOPB(TSSOP-24)";;;
19;"C14";"C_1206_3216Metric";1;"4.7uF";;;
20;"R9,R2,R3";"R_1206_3216Metric";3;"110";;;
21;"R6";"R_1206_3216Metric";1;"4.7K";;;
22;"C1,C19,C2";"C_1206_3216Metric";3;"1uF";;;
23;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
